"siteID","date","hgDepositionUGM2","filename"
"LKC",1995-07-06,0.1976,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-08,0.1212,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-10,0.032,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-14,0.2526,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-16,0.2015,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-17,0.0781,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-18,0.0314,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-20,0.0806,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-23,0.1846,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-26,0.1575,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-29,0.0703,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-07-29,0.0381,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-08-03,0.6546,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-08-04,0.2457,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-08-05,0.2612,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-08-06,0.0197,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-08-11,0.5509,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-08-15,0.0562,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-08-23,0.078,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-05,0.0759,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-07,0.1387,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-09,0.0217,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-13,0.1168,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-14,0.1722,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-14,0.0263,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-17,0.009,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-21,0.0167,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-22,0.0483,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-25,0.0373,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-09-26,0.0567,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-04,0.1576,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-04,0.0374,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-05,0.069,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-14,0.195,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-16,0.0079,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-21,0.063,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-24,0.0322,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-27,0.0758,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-28,0.0244,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-10-29,0.0083,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-01,0.0517,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-03,0.0423,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-07,0.0214,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-08,0.0047,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-11,0.1038,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-12,0.0058,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-14,0.016,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-15,0.0097,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-27,0.0897,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-11-30,0.0159,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-12-01,0.0494,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-12-09,0.0181,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-12-19,0.0035,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-12-20,0.0114,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-12-21,0.0341,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-12-22,0.0166,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-12-25,0.0108,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1995-12-26,0.006,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-01-03,0.0201,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-01-19,0.0453,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-01-23,0.0547,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-01-24,0.0239,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-01-27,0.0764,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-01-27,0.02,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-02-08,0.03,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-02-09,0.0175,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-02-11,0.0475,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1996-02-18,0.0126,"PMRC Wet Deposition Hg 1999-2003"
