"bandNum","date","status","age","sex","time","loc","cp","bp","wg","wt","hgBloodID","species","hgID","tissueType","hgLevel","mehgLevel","hgLab"
"193176788",2017-06-01,"2","6","4",2100,"MANS","2","0",91.5,28.1,"2017.12","BITH","2017.12","blood",0.152772445678711,NA,"BRI"
"193176791",2014-07-08,"1","5","4",1020,"MANS","2","0",90,30,"2014.029","BITH","2014.029","blood",0.0792404174804688,NA,"BRI"
"193176792",2014-07-08,"1","5","5",1230,"MANS","0","4",83,24.1,"2014.03","BITH","2014.03","blood",0.0838161849975586,NA,"BRI"
"193176792",2015-07-07,"2","6","5",1150,"MANS","0","4",88,25.1,"2015.055","BITH","2015.055","blood",0.137214828491211,NA,"BRI"
"193176792",2015-07-14,"2","6","5",2200,"MANS","0","4",89,23.7,"2015.058","BITH","2015.058","blood",0.0826097259521484,NA,"BRI"
"193176796",2015-06-12,"2","6","4",640,"MANS","3","0",92.5,27.4,"2015.009","BITH","2015.009","blood",0.113025436401367,NA,"BRI"
"193176796",2015-09-16,"2","6","4",730,"MANS",NA,NA,93,28.9,"2015.07","BITH","2015.07","blood",0.0298373050689697,NA,"BRI"
"193176934",2016-07-14,"2","6","5",850,"MANS","0","4",90,25.4,"2016.026","BITH","2016.026","blood",0.0550942420959473,NA,"BRI"
"193176946",2016-06-30,"2","6","4",750,"MANS","3","0",90,26.8,"2016.051","BITH","2016.051","blood",0.0659670867919922,NA,"BRI"
"193176964",2014-07-07,"2","6","5",1940,"MANS","0","3",87,25.3,"2014.013","BITH","2014.013","blood",0.0709684295654297,NA,"BRI"
"193176964",2015-06-03,"2","6","5",2100,"MANS","0","0",86,25,"2015.076","BITH","2015.076","blood",0.0521109886169434,NA,"BRI"
"193176964",2015-06-12,"2","6","5",500,"MANS","0","0",87,27.7,"2015.016","BITH","2015.016","blood",0.0588155174255371,NA,"BRI"
"193176964",2015-07-21,"2","6","5",450,"MANS","0","4",89,23.4,"2015.063","BITH","2015.063","blood",0.0648296966552734,NA,"BRI"
"193176967",2015-07-21,"2","6","5",810,"MANS","0","4",86,23,"2015.065","BITH","2015.065","blood",0.099759895324707,NA,"BRI"
"193176972",2015-06-30,"2","6","5",940,"MANS","0","3",87.5,28.6,"2015.03","BITH","2015.03","blood",0.108813316345215,NA,"BRI"
"193176972",2016-06-01,"2","6","5",900,"MANS","0","0",89,28.6,"2016.07","BITH","2016.07","blood",0.0702959823608398,NA,"BRI"
"193176989",2014-06-17,"2","6","4",930,"MANS","3","0",90,28.3,"2014.028","BITH","2014.028","blood",0.0708412857055664,NA,"BRI"
"193176989",2014-09-16,"2","6","4",1840,"MANS","0","0",91,29.6,"2014.027","BITH","2014.027","blood",0.0257094802856445,NA,"BRI"
"193176993",2016-06-30,"2","6","4",730,"MANS","3","0",97.5,27.4,"2016.054","BITH","2016.054","blood",0.0942771835327148,NA,"BRI"
"193196749",2015-07-20,"2","6","4",2230,"MANS","2","0",89,26.9,"2015.035","BITH","2015.035","blood",0.0603856735229492,NA,"BRI"
"234124083",2014-06-17,"2","6","4",630,"MANS","3","0",93.5,30.2,"2014.042","BITH","2014.042","blood",0.0588629455566406,NA,"BRI"
"234124085",2015-06-04,"2","6","4",700,"MANS","3","0",93,28.4,"2015.046","BITH","2015.046","blood",0.0829163284301758,NA,"BRI"
"234124085",2015-06-30,"2","6","4",1100,"MANS","2","0",93,28.2,"2015.027","BITH","2015.027","blood",0.0883610458374023,NA,"BRI"
"234124085",2016-05-20,"2","6","4",640,"MANS",NA,"0",94,29.2,"2016.087","BITH","2016.087","blood",0.152714660644531,NA,"BRI"
"234124095",2014-07-07,"2","6","4",1940,"MANS","3","0",95,29.1,"2014.036","BITH","2014.036","blood",0.102570938110352,NA,"BRI"
"234124095",2015-06-03,"2","6","4",2110,"MANS","3","0",93.5,29.2,"2015.039","BITH","2015.039","blood",0.142373077392578,NA,"BRI"
"234124095",2015-06-30,"2","6","4",800,"MANS","3","0",94.5,28.9,"2015.005","BITH","2015.005","blood",0.174774078369141,NA,"BRI"
"234124095",2016-06-30,"2","6","4",440,"MANS","3","0",94,29,"2016.055","BITH","2016.055","blood",0.0864806671142578,NA,"BRI"
"234124095",2017-07-07,"2","6","4",1132,"MANS","3","0",95.5,28.1,"2017.39","BITH","2017.39","blood",0.11628857421875,NA,"BRI"
"234124113",2014-06-10,"2","6","4",1100,"MANS","3","0",93.5,28.7,"2014.008","BITH","2014.008","blood",0.0669182357788086,NA,"BRI"
"234124116",2017-06-02,"2","6","4",850,"MANS","2","0",89.5,26.8,"2017.23","BITH","2017.23","blood",0.308823303222656,NA,"BRI"
"234124151",2015-09-16,"2","1","0",950,"MANS",NA,NA,90,29.3,"2015.069","BITH","2015.069","blood",0.0355614242553711,NA,"BRI"
"234124154",2014-06-17,"2","6","4",930,"MANS","3","0",89,30.5,"2014.033","BITH","2014.033","blood",0.0696989212036133,NA,"BRI"
"234124154",2014-06-27,"2","6","4",430,"MANS","3","0",92,30.4,"2014.032","BITH","2014.032","blood",0.0518707847595215,NA,"BRI"
"234124154",2015-06-11,"2","6","4",2030,"MANS","3","0",92,30,"2015.01","BITH","2015.01","blood",0.0597832679748535,NA,"BRI"
"234124154",2015-07-07,"2","6","4",1150,"MANS","1","0",91,28.2,"2015.056","BITH","2015.056","blood",0.0568140068054199,NA,"BRI"
"234124154",2016-05-31,"2","6","4",900,"MANS","2","0",91.5,29.1,"2016.062","BITH","2016.062","blood",0.10968424987793,NA,"BRI"
"234124169",2014-07-08,"2","6","4",530,"MANS","3","0",92.5,25.5,"2014.031","BITH","2014.031","blood",0.0971869506835937,NA,"BRI"
"234124223",2014-07-23,"1","2","0",2200,"MANS","0","0",85.5,28.2,"2014.035","BITH","2014.035","blood",0.0204212417602539,NA,"BRI"
"234124224",2014-07-23,"1","2","0",2200,"MANS","0","0",86,29.5,"2014.041","BITH","2014.041","blood",0.0411908073425293,NA,"BRI"
