SITEID,DATEON,DATEOFF,RGPPT,SVOL,SUBPPT,HGCONC,HGDEP ng/g,HgDep ug/g,SAMPLETYPE,QR,NOTES,YRMONTH,DATEMOD
VT99,3/29/05,4/5/05,48.01,654.5,48.01,7.21,346.12,0.34612,W,B,m,200504,8/31/06
VT99,4/5/05,4/12/05,13.21,157.3,13.21,17.39,229.69,0.22969,W,B,dm,200504,8/31/06
VT99,4/12/05,4/19/05,-7,3.4,0.13,-9,-9,-0.009,T,B,i,200504,4/23/06
VT99,4/19/05,4/26/05,45.72,567.2,45.72,6.24,285.29,0.28529,W,B,mh,200504,8/31/06
VT99,4/26/05,5/3/05,26.42,375,26.42,4.82,127.33,0.12733,W,B,dm,200504,8/31/06
VT99,5/3/05,5/10/05,1.02,7.7,1.02,15.61,15.86,0.01586,W,B,i,200505,4/23/06
VT99,5/10/05,5/17/05,11.18,164.4,11.18,9.04,101.03,0.10103,W,B,dm,200505,8/31/06
VT99,5/17/05,5/24/05,24.38,288.2,24.38,1.25,30.48,0.03048,W,B,d,200505,8/31/06
VT99,5/24/05,5/31/05,16.51,198.9,16.51,9.02,148.92,0.14892,W,B,dm,200505,8/31/06
VT99,5/31/05,6/7/05,1.78,18.2,1.78,11.35,20.18,0.02018,W,A,,200506,8/31/06
VT99,6/7/05,6/14/05,13.21,148.6,13.21,18,237.74,0.23774,W,B,d,200506,8/31/06
VT99,6/14/05,6/21/05,59.44,735.9,59.44,4.22,250.82,0.25082,W,B,dmh,200506,8/31/06
VT99,6/21/05,6/28/05,7.62,78.9,7.62,14.73,112.24,0.11224,W,B,mz,200506,8/31/06
VT99,6/28/05,7/5/05,2.29,25,2.29,29.9,68.35,0.06835,W,A,,200507,8/31/06
VT99,7/5/05,7/7/05,22.86,290.6,22.86,21.4,489.2,0.4892,W,B,mz,200507,4/27/06
VT99,7/7/05,7/10/05,55.63,744.2,55.63,3.4,189.13,0.18913,W,B,m,200507,8/31/06
VT99,7/10/05,7/16/05,-9,2.7,0.23,11.4,2.56,0.00256,W,B,mzi,200507,8/31/06
VT99,7/16/05,7/20/05,2.03,21.5,2.03,17.3,35.15,0.03515,W,B,m,200507,4/27/06
VT99,7/20/05,7/23/05,2.54,28.6,2.54,33.9,86.11,0.08611,W,A,,200507,8/31/06
VT99,7/23/05,7/28/05,39.88,514.7,39.88,4.2,167.49,0.16749,W,B,m,200507,8/31/06
VT99,7/28/05,8/1/05,2.03,23.2,2.03,9.8,19.91,0.01991,W,B,mh,200507,4/27/06
VT99,8/1/05,8/6/05,-9,76.1,6.34,5.8,36.78,0.03678,W,B,m,200508,8/31/06
VT99,8/6/05,8/12/05,-9,9.9,0.83,23.7,19.55,0.01955,W,B,mi,200508,8/31/06
VT99,8/12/05,8/15/05,6.6,88.9,6.6,12.5,82.55,0.08255,W,B,d,200508,4/27/06
VT99,8/15/05,8/21/05,9.65,119,9.65,6.1,58.88,0.05888,W,A,,200508,8/31/06
VT99,8/21/05,8/22/05,1.27,19.2,1.27,7.8,9.91,0.00991,W,B,mh,200508,8/31/06
VT99,8/22/05,8/25/05,2.79,33.4,2.79,9.2,25.7,0.0257,W,B,m,200508,4/27/06
VT99,8/25/05,8/29/05,6.35,76.5,6.35,6,38.1,0.0381,W,A,,200508,4/27/06
VT99,8/29/05,8/31/05,42.93,512.5,42.93,11.8,506.53,0.50653,W,A,,200508,8/31/06
VT99,8/31/05,9/1/05,29.21,385.3,29.21,1.8,52.58,0.05258,W,A,,200509,8/31/06
VT99,9/1/05,9/9/05,5.84,69.4,5.84,17.1,99.9,0.0999,W,A,,200509,8/31/06
VT99,9/9/05,9/19/05,46.99,577.7,46.99,9.9,465.2,0.4652,W,B,e,200509,4/27/06
VT99,9/19/05,9/21/05,0.51,55.8,0.51,19.7,10.01,0.01001,W,A,,200509,8/31/06
VT99,9/21/05,9/23/05,6.35,76.8,6.35,8.6,54.61,0.05461,W,A,,200509,4/27/06
VT99,9/23/05,9/27/05,39.37,460.7,39.37,6.1,240.16,0.24016,W,A,,200509,8/31/06
VT99,9/30/05,10/7/05,0,0,0,-9,0,0,D,A,,200510,5/22/06
VT99,10/7/05,10/8/05,41.4,510.4,41.4,3.23,133.73,0.13373,W,B,h,200510,8/31/06
VT99,10/8/05,10/15/05,30.73,310.7,30.73,2.74,84.21,0.08421,W,B,h,200510,8/31/06
VT99,10/15/05,10/17/05,71.12,900.1,71.12,1.75,124.46,0.12446,W,B,h,200510,8/31/06
VT99,10/17/05,10/21/05,-9,287.8,23.98,2.83,67.87,0.06787,W,B,m,200510,8/31/06
VT99,10/21/05,10/24/05,40.89,505.1,40.89,1.39,56.84,0.05684,W,A,,200510,8/31/06
VT99,10/24/05,10/27/05,85.6,570.1,85.6,1.39,118.98,0.11898,W,C,mzu,200510,8/31/06
VT99,10/27/05,11/2/05,-9,88,7.33,8.76,64.24,0.06424,W,C,dmzb,200511,8/31/06
