"date","siteID","sampleNumber","precipSampVolML","precipAmountCM","hgConcentrationNGL","hgDepositionUGM2","filename"
1999-01-08,"LKC",696,379,1.98429,2.274,0.0451,"PMRC Wet Deposition Hg 1999-2003"
1999-01-13,"LKC",697,91,0.47643,3.692,0.0175,"PMRC Wet Deposition Hg 1999-2003"
1999-01-14,"LKC",698,491,2.57068,3.05,0.0784,"PMRC Wet Deposition Hg 1999-2003"
1999-01-18,"LKC",699,203,1.06282,3.147,0.0334,"PMRC Wet Deposition Hg 1999-2003"
1999-01-22,"LKC",701,47,0.24607,19.93,0.049,"PMRC Wet Deposition Hg 1999-2003"
1999-01-24,"LKC",702,275,1.43979,4.167,0.0599,"PMRC Wet Deposition Hg 1999-2003"
1999-01-27,"LKC",704,90,0.4712,3.642,0.0171,"PMRC Wet Deposition Hg 1999-2003"
1999-02-02,"LKC",705,160,0.83769,4.912,0.0411,"PMRC Wet Deposition Hg 1999-2003"
1999-02-10,"LKC",708,32,0.16753,5.518,0.0092,"PMRC Wet Deposition Hg 1999-2003"
1999-02-12,"LKC",709,212,1.10994,8.59,0.0953,"PMRC Wet Deposition Hg 1999-2003"
1999-02-13,"LKC",710,25,0.13089,11.89,0.0155,"PMRC Wet Deposition Hg 1999-2003"
1999-02-28,"LKC",714,416,2.17801,5.406,0.1177,"PMRC Wet Deposition Hg 1999-2003"
1999-03-01,"LKC",715,63,0.32984,5.801,0.0191,"PMRC Wet Deposition Hg 1999-2003"
1999-03-03,"LKC",716,149,0.7801,5.279,0.0411,"PMRC Wet Deposition Hg 1999-2003"
1999-03-04,"LKC",717,24,0.12565,9.608,0.012,"PMRC Wet Deposition Hg 1999-2003"
